feature,importance,operation
hadamard_dim_81,0.001429274333634177,hadamard
l1_distance_dim_80,0.0014281896818130494,l1_distance
average_dim_75,0.0014264036322888998,average
l1_distance_dim_67,0.0014253157545456988,l1_distance
hadamard_dim_87,0.0014235631593661,hadamard
l1_distance_dim_93,0.001423112513288937,l1_distance
hadamard_dim_39,0.0014223904245053028,hadamard
l1_distance_dim_40,0.0014215136701446272,l1_distance
l1_distance_dim_75,0.0014200950923457711,l1_distance
l1_distance_dim_117,0.0014167179252610007,l1_distance
l1_distance_dim_94,0.0014162580806146021,l1_distance
l1_distance_dim_9,0.0014154423035500617,l1_distance
l1_distance_dim_81,0.0014132535337513113,l1_distance
l1_distance_dim_60,0.001405740474722599,l1_distance
hadamard_dim_20,0.0014043521103549571,hadamard
l1_distance_dim_124,0.0014040997008563235,l1_distance
l1_distance_dim_97,0.0014040878705650585,l1_distance
hadamard_dim_90,0.0014036701831279294,hadamard
hadamard_dim_36,0.0014023963583771621,hadamard
l1_distance_dim_126,0.0013973682124269874,l1_distance
hadamard_dim_0,0.001394970991402716,hadamard
l1_distance_dim_120,0.0013928646407216775,l1_distance
l1_distance_dim_31,0.0013902122823808661,l1_distance
hadamard_dim_76,0.0013896074774168042,hadamard
hadamard_dim_18,0.0013879556860986336,hadamard
l1_distance_dim_99,0.001386558918834428,l1_distance
l1_distance_dim_61,0.001386189298512655,l1_distance
l1_distance_dim_42,0.0013855524738565904,l1_distance
hadamard_dim_28,0.001382531788974903,hadamard
l1_distance_dim_29,0.0013820793681092055,l1_distance
l1_distance_dim_51,0.0013817406899697278,l1_distance
l1_distance_dim_38,0.0013803017549982846,l1_distance
l1_distance_dim_49,0.0013801411188210696,l1_distance
l1_distance_dim_53,0.0013771982883946056,l1_distance
hadamard_dim_57,0.0013760276219953779,hadamard
l1_distance_dim_25,0.0013753079517897734,l1_distance
l1_distance_dim_83,0.001373702466573217,l1_distance
hadamard_dim_69,0.001373361490425165,hadamard
l1_distance_dim_85,0.0013732806010070895,l1_distance
l1_distance_dim_113,0.001373204216020692,l1_distance
hadamard_dim_68,0.0013717483100885643,hadamard
l1_distance_dim_105,0.0013711706290193343,l1_distance
l1_distance_dim_65,0.0013703499367208002,l1_distance
l1_distance_dim_20,0.0013693408817391686,l1_distance
hadamard_dim_38,0.0013641894750457467,hadamard
l1_distance_dim_50,0.0013597483958057415,l1_distance
hadamard_dim_73,0.001357064572869365,hadamard
l1_distance_dim_10,0.0013570594983239028,l1_distance
hadamard_dim_3,0.0013556744033978172,hadamard
hadamard_dim_95,0.0013542973199542957,hadamard
l1_distance_dim_114,0.0013519494837049778,l1_distance
hadamard_dim_51,0.0013505801382514319,hadamard
hadamard_dim_58,0.0013485553512650671,hadamard
l1_distance_dim_52,0.001343912869187126,l1_distance
hadamard_dim_77,0.0013418068951622905,hadamard
l1_distance_dim_0,0.0013395392949908248,l1_distance
l1_distance_dim_87,0.0013394898161916422,l1_distance
l1_distance_dim_7,0.0013392556050343277,l1_distance
hadamard_dim_75,0.001339203605132025,hadamard
l1_distance_dim_121,0.0013371785464926242,l1_distance
l1_distance_dim_125,0.00133483236201332,l1_distance
l1_distance_dim_16,0.0013311524952762277,l1_distance
hadamard_dim_71,0.0013267312976947636,hadamard
l1_distance_dim_108,0.0013251696819095843,l1_distance
hadamard_dim_59,0.0013246789743801555,hadamard
hadamard_dim_55,0.0013238267196267642,hadamard
hadamard_dim_104,0.0013237758552356543,hadamard
hadamard_dim_93,0.0013215608649981179,hadamard
hadamard_dim_85,0.0013199230197780993,hadamard
l1_distance_dim_76,0.0013187248750122075,l1_distance
hadamard_dim_23,0.0013187133603104544,hadamard
hadamard_dim_107,0.0013181314791724439,hadamard
hadamard_dim_118,0.0013175435021049431,hadamard
l1_distance_dim_57,0.0013124230066489987,l1_distance
l1_distance_dim_98,0.0013109078855779008,l1_distance
hadamard_dim_49,0.0013093879699590063,hadamard
l1_distance_dim_11,0.0013047213992930509,l1_distance
l1_distance_dim_73,0.0013011341697307128,l1_distance
l1_distance_dim_68,0.0012989569854118196,l1_distance
l1_distance_dim_8,0.001298324020279265,l1_distance
l1_distance_dim_21,0.0012973204453267722,l1_distance
l1_distance_dim_58,0.0012953457263552895,l1_distance
hadamard_dim_66,0.0012939421053527807,hadamard
l1_distance_dim_34,0.0012932538626409988,l1_distance
l1_distance_dim_44,0.0012910689687253573,l1_distance
l1_distance_dim_22,0.0012878489941985974,l1_distance
l1_distance_dim_46,0.0012871133140705511,l1_distance
l1_distance_dim_110,0.0012844993760538703,l1_distance
hadamard_dim_79,0.001276272209177823,hadamard
l1_distance_dim_37,0.0012674495187786578,l1_distance
l1_distance_dim_45,0.0012637771328999734,l1_distance
l1_distance_dim_122,0.0012630087472110343,l1_distance
hadamard_dim_82,0.001260249139948893,hadamard
l1_distance_dim_66,0.0012574545198877156,l1_distance
l1_distance_dim_55,0.0012561934837465752,l1_distance
hadamard_dim_64,0.0012557092100914488,hadamard
l1_distance_dim_3,0.0012468456324962406,l1_distance
hadamard_dim_24,0.0012386448572367828,hadamard
hadamard_dim_117,0.0012383542891371629,hadamard
hadamard_dim_102,0.0012366327215719744,hadamard
l1_distance_dim_69,0.0012208568900982065,l1_distance
hadamard_dim_27,0.0012132111091745007,hadamard
l1_distance_dim_71,0.001210425363681304,l1_distance
l1_distance_dim_14,0.0012075882945671804,l1_distance
hadamard_dim_127,0.0012051659656216961,hadamard
l1_distance_dim_27,0.0012024690618131636,l1_distance
hadamard_dim_19,0.0011953361303646873,hadamard
l1_distance_dim_127,0.0011792023457990303,l1_distance
l1_distance_dim_5,0.0011775797611348435,l1_distance
l1_distance_dim_84,0.0011704629353364257,l1_distance
hadamard_dim_52,0.0011669842043234527,hadamard
l1_distance_dim_102,0.001157944777240905,l1_distance
hadamard_dim_6,0.0011569562479128853,hadamard
hadamard_dim_16,0.0011568949380887572,hadamard
hadamard_dim_45,0.001151788728444711,hadamard
hadamard_dim_54,0.00114968693325213,hadamard
hadamard_dim_109,0.0011491564843533815,hadamard
hadamard_dim_126,0.0011385542980804429,hadamard
hadamard_dim_89,0.0011265676434903714,hadamard
hadamard_dim_113,0.0011258401923373027,hadamard
